PID,Address,LotArea,FullBath,BedroomAbvGr,finishedsqft,DateSold,MoSold,YrSold,price,Neighborhood,totalrooms,BldgType,YrBuilt, zestimate ,zindexvalue,Zipcode,Longitude,Latitude
10782,637 Powell St APT 401,18731,1,2,1200,8/22/2012,8,2012,687000,Downtown,5,SingleFamily,1980,"1,221,373.00","795,400",94108,-122.409234,37.790627
10783,1770 Pacific Ave APT 101,21344,1,2,1200,8/22/2012,8,2012,725000,Pacific Heights,4,Condominium,1902,"1,355,132.00","1,884,400",94109,-122.424508,37.794927
10784,132 Faith St,1750,1,1,625,2/4/2015,2,2015,730000,Bernal Heights,4,SingleFamily,1890,"971,341.00","1,214,400",94110,-122.406499,37.744374
10785,80A Richland Ave,2518,2,2,1102,8/22/2012,8,2012,781000,Bernal Heights,5,Condominium,2006,"824,901.00","1,214,400",94110,-122.42517,37.735771
10786,383 Elsie St,1507,3,3,1650,8/22/2012,8,2012,790000,Bernal Heights,7,MultiFamily2To4,1907,"1,919,651.00","1,214,400",94110,-122.420216,37.73832
10787,44 Oakwood St,2750,1,2,1199,8/22/2012,8,2012,905000,Mission,5,Condominium,1927,"1,293,289.00","1,167,700",94110,-122.42524,37.760805
10788,33 Nebraska St,2614,2,4,1785,8/22/2012,8,2012,1000000,Bernal Heights,7,SingleFamily,1970,"1,028,417.00","1,214,400",94110,-122.410166,37.74068
10789,356 Prentiss St,1750,2,3,1870,8/22/2012,8,2012,1200000,Bernal Heights,6,SingleFamily,1963,"1,809,981.00","1,214,400",94110,-122.412267,37.738768
10790,144 Bepler St,2495,2,3,1380,8/22/2012,8,2012,460000,Daly City,5,SingleFamily,1949,"834,220.00","750,300",94112,-122.463544,37.708174
10791,251 Rome St,2400,1,2,1680,8/22/2012,8,2012,630000,Outer Mission,6,SingleFamily,1938,"994,578.00","804,400",94112,-122.447115,37.715173
10792,4150 17th St APT 6,3049,2,2,1800,8/22/2012,8,2012,940000,Corona Heights,4,Condominium,1994,"1,458,477.00","1,449,300",94114,-122.43856,37.762735
10793,1568 Shrader St,2495,1,2,1200,8/22/2012,8,2012,1600000,Parnassus - Ashbury,5,SingleFamily,1916,"1,955,300.00","2,111,800",94117,-122.450051,37.760375
10794,143 Upper Ter,2613,2,4,2369,1/9/2015,1,2015,5200000,Parnassus - Ashbury,12,SingleFamily,1919,"3,974,316.00","2,111,800",94117,-122.443783,37.764849
10795,147 Lake St,2063,3,4,3412,8/22/2012,8,2012,2200000,Lake,14,SingleFamily,1902,"3,658,177.00","2,202,400",94118,-122.4612,37.786687
10796,740 18th Ave,2996,2,3,1830,8/22/2012,8,2012,1250000,Central Richmond,9,SingleFamily,1921,"1,429,625.00","1,480,400",94121,-122.476445,37.774033
10797,240 El Camino Del Mar,1398,2.5,3,1850,8/22/2012,8,2012,1575000,Sea Cliff,7,SingleFamily,1923,"3,136,358.00","4,400,200",94121,-122.486008,37.787785
10798,1823 33rd Ave,2962,3,5,2069,8/22/2012,8,2012,880000,Central Sunset,9,SingleFamily,1941,"1,320,870.00","1,111,300",94122,-122.491769,37.753068
10799,1379 Revere Ave,2495,3,6,1565,8/22/2012,8,2012,309000,Bayview,11,SingleFamily,1923,"867,551.00","719,000",94124,-122.386192,37.729111
10800,151 Garcia Ave,5122,3.25,3,2700,9/13/2013,9,2013,1405000,Forest Hill Extension,7,SingleFamily,1929,"2,308,124.00","1,657,500",94127,-122.461281,37.743899
10801,1317 Bosworth St,6075,2,3,1525,8/22/2012,8,2012,1320000,Diamond Heights,5,SingleFamily,1921,"1,710,515.00","1,070,100",94131,-122.442078,37.736579
10802,8100 Oceanview Ter APT 412,325629,1,1,663,8/22/2012,8,2012,232000,Ingleside Heights,3,Condominium,2002,"531,385.00","688,100",94132,-122.467645,37.71048
10803,246 Beverly St,2495,1,2,1350,8/22/2012,8,2012,540000,Merced Heights,5,SingleFamily,1941,"858,954.00","883,100",94132,-122.471385,37.720514
10804,569 Raymond Ave,2500,2,3,1160,8/22/2012,8,2012,485000,Visitacion Valley,6,SingleFamily,1961,"618,855.00","690,400",94134,-122.414955,37.715137
10805,188 Minna St APT 31D,33056,2.5,2,1792,8/21/2012,8,2012,3100000,Yerba Buena,5,Condominium,2005,"4,696,451.00","993,200",94105,-122.401374,37.786289
10806,631 Folsom St,38089,2,2,1000,8/19/2009,8,2009,1750000,Yerba Buena,6,Condominium,2009,"1,363,593.00","993,200",94107,-122.396873,37.784713
